Threat Group,Technique Used,Mitigation,Mitigation Description
EXOTIC LILY,Spearphishing Link,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
EXOTIC LILY,Spearphishing Link,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
EXOTIC LILY,Spearphishing Link,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
EXOTIC LILY,Email Accounts,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Exploitation for Client Execution,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
EXOTIC LILY,Exploitation for Client Execution,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
EXOTIC LILY,Exploitation for Client Execution,Exploitation for Client Execution Mitigation,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. (Citation: Windows Blogs Microsoft Edge Sandbox) (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility."
EXOTIC LILY,Spearphishing via Service,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
EXOTIC LILY,Spearphishing via Service,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
EXOTIC LILY,Spearphishing via Service,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
EXOTIC LILY,Web Service,Web Service Mitigation,"Firewalls and Web proxies can be used to enforce external network communication policy. It may be difficult for an organization to block particular services because so many of them are commonly used during the course of business.

Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol or encoded commands used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools. (Citation: University of Birmingham C2)"
EXOTIC LILY,Web Service,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
EXOTIC LILY,Web Service,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
EXOTIC LILY,Search Closed Sources,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Social Media Accounts,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Malicious Link,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
EXOTIC LILY,Malicious Link,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
EXOTIC LILY,Malicious Link,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
EXOTIC LILY,Upload Malware,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT17,Web Services,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT17,Establish Accounts,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT12,Exploitation for Client Execution,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT12,Exploitation for Client Execution,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
APT12,Exploitation for Client Execution,Exploitation for Client Execution Mitigation,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. (Citation: Windows Blogs Microsoft Edge Sandbox) (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility."
APT12,Bidirectional Communication,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT12,Bidirectional Communication,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT12,Spearphishing Attachment,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT12,Spearphishing Attachment,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT12,Spearphishing Attachment,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT12,Spearphishing Attachment,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT12,Spearphishing Attachment,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT12,Malicious File,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT12,Malicious File,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT12,Malicious File,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
